;;;I;II;III;IV;V;VI;VII;VIII
14 май 12;Пн;Н;;;;;;;;
15 май 12;Вт;Н; Занятия в подгруппах;;;;;;;
16 май 12;Ср;Н;Лекция, Коновалов В.М., доц.,    5-203;;;;;;;
17 май 12;Чт;Н;;Лекция, Кузнецова Ю.Ю., ст.преп.,    503а;Пр.Зан., Кузнецова Е.В., ст.преп.,    203в;Лекция, Кузнецова Ю.Ю., ст.преп.,    9р;Лекция, Соловьева Т.Л., доц.,    202в;Пр.Зан., Соловьева Т.Л., доц.,    202в;;
18 май 12;Пт;Н;Лаб.раб., *****, ***,    Спортзал 4;Лекция, Филонов П.В., доц.,    2-101;Лекция, Филонов П.В., доц.,    5-203;;;;;
19 май 12;Сб;Н;;;;;;;;
20 май 12;Вс;Н;;;;;;;;
21 май 12;Пн;В;;;;;;;;
22 май 12;Вт;В; Занятия в подгруппах;;;;;;;
23 май 12;Ср;В;Пр.Зан., Коновалов В.М., доц.,    5-203;;Лекция, Рогожникова Н.Л., преп.,    4-308;;;;;
24 май 12;Чт;В;;;Пр.Зан., Кузнецова Е.В., ст.преп.,    203в;Лекция, Кузнецова Ю.Ю., ст.преп.,    9р;Лекция, Соловьева Т.Л., доц.,    202в;Пр.Зан., Соловьева Т.Л., доц.,    202в;;
25 май 12;Пт;В;Лаб.раб., *****, ***,    Спортзал 4;Лекция, Филонов П.В., доц.,    2-101;Лекция, Филонов П.В., доц.,    5-203;Пр.Зан., Петрова Л.В., ст.преп.,    5-303;;;;
26 май 12;Сб;В; Занятия в подгруппах;;;;;;;
27 май 12;Вс;В;;;;;;;;
28 май 12;Пн;Н;;;;;;;;
29 май 12;Вт;Н; Занятия в подгруппах;;;;;;;
30 май 12;Ср;Н;Лекция, Коновалов В.М., доц.,    5-203;;;;;;;
31 май 12;Чт;Н;;Лекция, Кузнецова Ю.Ю., ст.преп.,    503а;Пр.Зан., Кузнецова Е.В., ст.преп.,    203в;Лекция, Кузнецова Ю.Ю., ст.преп.,    9р;Лекция, Соловьева Т.Л., доц.,    202в;;;
01 июн 12;Пт;Н;;;;;;;;
02 июн 12;Сб;Н;;;;;;;;
03 июн 12;Вс;Н;;;;;;;;
04 июн 12;Пн;В;;;;;;;;
05 июн 12;Вт;В;;;;;;;;
06 июн 12;Ср;В;;;;;;;;
07 июн 12;Чт;В;;;;;;;;
08 июн 12;Пт;В;;;;;;;;
09 июн 12;Сб;В;;;;;;;;
10 июн 12;Вс;В;;;;;;;;
11 июн 12;Пн;Н;;;;;;;;
12 июн 12;Вт;Н;;;;;;;;
13 июн 12;Ср;Н;;;;;;;;
14 июн 12;Чт;Н;;;;;;;;
15 июн 12;Пт;Н;;;;;;;;
16 июн 12;Сб;Н;;;;;;;;
17 июн 12;Вс;Н;;;;;;;;
18 июн 12;Пн;В;;;;;;;;
19 июн 12;Вт;В;;;;;;;;
20 июн 12;Ср;В;;;;;;;;
21 июн 12;Чт;В;;;;;;;;
22 июн 12;Пт;В;;;;;;;;
23 июн 12;Сб;В;;;;;;;;
24 июн 12;Вс;В;;;;;;;;
25 июн 12;Пн;Н;;;;;;;;
26 июн 12;Вт;Н;;;;;;;;
27 июн 12;Ср;Н;;;;;;;;
28 июн 12;Чт;Н;;;;;;;;
29 июн 12;Пт;Н;;;;;;;;
30 июн 12;Сб;Н;;;;;;;;
01 июл 12;Вс;Н;;;;;;;;
02 июл 12;Пн;В;;;;;;;;
;;;I;II;III;IV;V;VI;VI;VI
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
